iter	Passed	Remaining
0	0	91
1	1	79
2	2	73
3	2	67
4	3	65
5	4	64
6	4	63
7	5	62
8	6	61
9	6	60
10	7	60
11	8	59
12	8	58
13	10	64
14	11	66
15	12	66
16	13	65
17	14	68
18	16	69
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	65
25	23	65
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	53
39	35	52
40	36	52
41	37	51
42	38	50
43	39	50
44	41	50
45	42	50
46	44	49
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	49	44
53	50	43
54	51	42
55	53	41
56	54	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	35
63	61	34
64	63	34
65	64	33
66	67	33
67	68	32
68	70	31
69	71	30
70	74	30
71	75	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	81	22
78	82	21
79	83	20
80	84	19
81	86	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	92	10
90	93	9
91	94	8
92	99	7
93	100	6
94	100	5
95	101	4
96	102	3
97	102	2
98	103	1
99	104	0
